habitat;cv_forest
1;clearcut;25
2;clearcut;55
3;clearcut;43
4;clearcut;56
5;clearcut;108
6;clearcut;25
7;clearcut;50
8;clearcut;22
9;clearcut;57
10;clearcut;36
11;clearcut;42
12;clearcut;30
13;clearcut;55
14;clearcut;26
15;clearcut;32
16;clearcut;23
17;clearcut;89
18;clearcut;61
19;clearcut;56
20;clearcut;64
21;clearcut;59
22;clearcut;58
23;clearcut;34
24;clearcut;64
25;clearcut;33
26;clearcut;48
27;clearcut;43
28;clearcut;32
29;clearcut;58
30;clearcut;41
31;dead;57
32;dead;60
33;dead;66
34;dead;76
35;dead;60
36;dead;81
37;dead;46
38;dead;66
39;dead;92
40;dead;88
41;dead;56
42;dead;70
43;dead;39
44;dead;28
45;dead;40
46;dead;60
47;dead;53
48;dead;69
49;dead;74
50;forest;62
51;forest;85
52;forest;60
53;forest;58
54;forest;59
55;forest;51
56;forest;63
57;forest;89
58;forest;68
59;forest;72
60;forest;70
61;forest;110
62;forest;68
63;forest;73
64;forest;73
65;forest;54
66;forest;126
67;forest;68
68;forest;92
69;forest;60
70;forest;47
71;forest;48
72;forest;63
73;forest;57
74;forest;69
75;dead;66
76;dead;77
77;forest;86
78;dead;61
79;dead;87
80;dead;72
81;forest;88
82;forest;110
83;forest;49
84;forest;104
85;dead;80
86;dead;71
87;dead;61
88;dead;54
89;forest;81
