Polychaeta;Crustacea;Mollusca;Insecta
Site1;87;51;0;1
Site2;37;14;1;0
Site3;28;42;0;0
Site4;172;25;0;2
Site5;16;50;0;0
Site7;29;211;1;0
Site8;22;169;0;0
Site11;16;19;0;0
Site12;0;1;0;0
Site13;2;45;0;0
Site14;7;31;0;0
Site15;5;5;0;0
Site16;0;1;0;0
Site17;21;0;0;26
Site18;71;0;0;2
Site19;0;0;0;8
Site20;46;2;0;0
Site21;0;1;0;5
Site23;13;8;1;0
Site24;1;0;0;0
Site25;35;6;2;0
Site26;24;9;0;0
Site27;24;9;1;0
Site28;1;1;3;67
Site29;15;10;0;21
Site30;3;2;0;0
Site31;6;1;0;0
Site32;1;0;0;1
Site33;0;1;0;0
Site34;95;6;1;0
Site35;339;13;0;0
Site36;0;6;0;0
Site37;50;49;0;0
Site38;5;22;0;0
Site39;76;9;0;0
Site40;0;1;0;0
Site41;12;5;1;1
Site42;14;19;1;0
Site43;11;12;0;0
Site44;0;0;1;0
Site45;0;11;0;0
