browar;nazwa;BLG;V;styl;IBU;centyl;weighted
Browar Cornelius;Cornelius Dunkel ;15;3;Lager;30.2;14;2.5
Browar Goœciszewo;Darz Bór ;14;6.5;Lager;27.74;82;3.44
Browar Perun;Sabat Czarownic ;13;5.5;Lager;14;59;3.27
Pinta;Jak w dym;16.5;6.9;Lager;28;84;3.46
Pinta;I'm so horny!;18;6.7;Lager;53.68;96;3.69
Kompania Piwowarska;Dêbowe Mocne;14.2;7;eurolager;36.73;8;2.4
Kompania Piwowarska;Ksi¹¿êce Czerwony Lager;11.6;4.9;eurolager;33.62;12;2.59
Kompania Piwowarska;10.5;10.5;4.7;eurolager;34.88;12;2.51
Kompania Piwowarska;Lech Premium;11.1;5.2;eurolager;33.94;5;2.19
Kompania Piwowarska;Wojak Mocny;14.1;7;eurolager;36.83;9;2.42
Kompania Piwowarska;¯ubr;12;6;eurolager;34.3;7;2.32
Van Pur;Tesco Jasne Pe³ne;12.5;4;eurolager;34.36;2;1.67
Heineken;Heineken;11.4;5;eurolager;34.33;4;2.07
Carlsberg;Bosman Specjal;14;6.6;eurolager;35.54;8;2.33
Carlsberg;Harnaœ Jasne Pe³ne;11.8;6;eurolager;35.8;6;2.22
Carlsberg;Kasztelan Mocne;14.6;6.8;eurolager;37.05;9;2.32
Carlsberg;Piast Mocne;14.1;6.7;eurolager;37.14;7;2.21
Browar Cornelius;Cornelius Lichee;13;5;inne;15;13;2.46
Browar Golem;Zojer ;8;6.5;inne;10;47;3.14
Browar Podgórz;Luzy Rajtuzy ;12.5;5.5;inne;30;84;3.46
Browar Sza³piw;Szczun ;19;5.6;inne;54.495;98;3.8
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Piernikowy Foch ;16.5;5.6;inne;15;55;3.24
Pinta;Dymy Marcowe;13.1;5;inne;22;69;3.33
Browar Podgórz;Burgundowy £owca ;24;5;inne;57.3;47;3.16
Browar Sza³piw;Buba Extreme Jack Daniels BA ;32;5.5;inne;74.28;100;4.24
Browar Sza³piw;Fest Buba 2015 ;25;11;inne;64.8;99;3.84
Browar Goœciszewo;Rybak ;12.5;5.7;Lager;29.99;45;3.15
Browar Goœciszewo;Rycerz ;12.5;5.9;Lager;25.07;15;2.67
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Korona Olbrachta ;12.5;5.6;Lager;22;23;2.83
Brokreacja;The Alchemist ;16;11;pale ale;85;90;3.54
Browar Podgórz;Siostra Bo¿enka ;15;4.5;pale ale;70;95;3.67
Browar Podgórz;Owca w Nowej Hucie ;15;6;pale ale;65.1;95;3.66
AleBrowar;Last Cut ;18;4.2;pale ale;60;92;3.95
AleBrowar;Ortodox PAle Ale ;12;5.6;pale ale;41.33;49;3.19
AleBrowar;Naked Mummy ;16;6.2;pale ale;45;77;3.39
Brokreacja;The Blogger ;18.5;5.83;pale ale;45;73;3.36
Browar Goœciszewo;Gwiazdor ;16;5.5;pale ale;44.25;68;3.36
Browar Kingpin;Aficionado ;16.5;4.7;pale ale;51.19;93;3.61
Browar Perun;Behemoth Heretyk ;13;5.7;pale ale;45;55;3.24
Browar Perun;Dziedzictwo Marynka ;13;6.2;pale ale;45;67;3.32
AleBrowar;King of hop ;12;6.2;pale ale;45;92;3.58
ARTEZAN ; Pacific ;12.5;5.4;pale ale;45;98;3.79
Browar Golem;Hopken! Hopken! ;11.5;6.1;pale ale;50;78;3.48
Browar Kingpin;Rocknrolla ;12;6.3;pale ale;44.06;88;3.5
Browar Sza³piw;Kociamber ;12;6;pale ale;46.55;96;3.7
Pinta;A Ja Pale Ale;12;4.5;pale ale;41;80;3.42
Browar Golem;Grin Sove ;14.1;5.9;pale ale;58;53;3.23
Browar Kingpin;Berserker ;16.5;5.3;pale ale;49.47;95;3.65
AleBrowar;Rowing Jack ;16;6.2;pale ale;80;98;3.82
AleBrowar;Crazy Mike ;20;5;pale ale;100;98;3.79
Brokreacja;The Fighter ;19;4.8;pale ale;120;77;3.85
Brokreacja;The Butcher ;16;6.4;pale ale;75;89;3.53
Browar Cornelius;Cornelius IPA ;15.5;5;pale ale;50.78;49;3.23
Browar Golem;Orange Juice ;14.1;4.6;pale ale;50;58;3.25
Browar Kingpin;Mandarin ;16.5;5.2;pale ale;54.51;87;3.5
Browar Kingpin;Headbanger ;19.1;6.5;pale ale;61.22;63;3.25
Browar Kingpin;Phantom ;15.5;7.3;pale ale;60.21;93;3.59
Browar Kingpin;Cajaneiro ;11.5;8.6;pale ale;49.53;78;3.4
Browar Perun;Behemoth Sacrum ;15;5.4;pale ale;50;41;3.07
Browar Setka;Porucznik ;10;4.6;pale ale;45;57;3.32
Browar Setka;Tu By³em ;15;4.9;pale ale;50;45;3.12
Browar Setka;Sekwoja ;15;5.2;pale ale;70;92;3.58
Browar Sza³piw;Kejter ;15;8.1;pale ale;64.41;90;3.54
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Opactwo Króla ;16.5;5.6;pale ale;30;32;2.95
Pinta;Atak Chmielu;15.1;6.1;pale ale;58;93;3.6
Pinta;Brett IPA;15.1;7.9;pale ale;70;95;3.66
Brokreacja;The Teacher ;12;4.9;Pils;40;55;3.24
Browar Goœciszewo;Drwal ;11.6;6;Pils;40.35;67;3.35
Browar Setka;Redneck Citra ;11;6;Pils;53;91;3.56
Browar Setka;Viking Pils ;12;6;Pils;45;96;3.66
Browar Setka;Redneck Cascade ;11;7.8;Pils;45;66;3.36
Browar Sza³piw;Elegant z Mosiny ;12;5.3;Pils;36.85;43;3.1
Pinta;Pierwsza Pomoc;10.5;4.1;Pils;33;46;3.14
Kompania Piwowarska;Lech Pils;11.7;5.5;Pils;32.81;9;2.43
Pinta;Imperator Ba³tycki;24.7;9.1;Porter;109;100;4.03
Brokreacja;Nafciarz Dukielski ;16;5.2;Porter;60;98;3.79
Brokreacja;Imperialny Nafciarz ;24;6.2;Porter;75;99;3.93
Browar Golem;Dybuk ;16;10;Porter;50;95;3.66
Browar Goœciszewo;55 Porter Ba³tycki Wêdzony ;24;6.2;Porter;67.835;98;3.8
Browar Kingpin;Diggler Rum Barrel Aged ;13.1;8.3;Porter;36.09;37;3.02
Browar Perun;Orzechowy Gaj ;13;8;Porter;35;59;3.27
Browar Podgórz;652 n.p.m. ;22;4.8;Porter;74.25;99;3.9
Browar Setka;Apollo 19 ;19;5;Porter;40;95;3.64
Brokreacja;The Gravedigger ;24;11;RIS;100;96;3.68
Browar Golem;LILITH ;24;10;RIS;81.54;99;3.9
Browar Perun;Behemoth Bafomet ;25;5.5;RIS;80;99;3.89
Browar Perun;Kraina Welesa ;19;6.9;RIS;70;91;3.56
Browar Piwoteka; £ódŸ i M³yn ;29.7;5.4;RIS;110;94;3.63
AleBrowar;Golden Monk ;18;4.2;inne;60;72;3.35
Browar Golem;Moszaw ;12.5;6.1;inne;30;77;3.45
Browar Piwoteka;Koñska Dawka ;12.5;5.5;inne;40;56;3.25
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;KuŸnia Saison ;14;5.6;inne;30;88;3.51
AleBrowar;Salty Barbara ;12;6.2;Sour;15;64;3.3
Brokreacja;Fuck The Boundaries ;16;6.3;Sour;60;55;3.24
Browar Piwoteka;Zoœka Straszybotka ;12.5;13.8;Sour;7;85;3.47
Browar Sza³piw;Fragum Ambitiosum ;14;4.7;Sour;28.66;66;3.37
Browar Sza³piw;Tenacious Blackberry ;14;6.6;Sour;15;97;3.72
Browar Sza³piw;Rubus Idaeus MAleficus ;14;6.6;Sour;37.92;91;3.65
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;PZB Funky Wild Fruit Wiœnia ;12.5;11.2;Sour;15;80;3.41
Pinta;Kwas Jota;11.5;5.1;Sour;31.67;89;3.52
Pinta;Kwas Theta;24.7;10.2;Sour;60.65;99;3.9
AleBrowar;Smoky Joe ;16;7.2;Stout;45;95;3.65
AleBrowar;Imperial Smoky Joe Barrel Aged ;24;9;Stout;65;99;3.9
AleBrowar;Sweet Cow ;12;9.8;Stout;28;57;3.26
Brokreacja;The Waiter ;16;8.9;Stout;30;83;3.45
Browar Piwoteka;Ucho od Œledzia ;14;5.5;Stout;50;90;3.55
Browar Podgórz;Borówkowe Pole ;12;5;Stout;28.33;72;3.35
Browar Setka;Plutonowy ;14;4.4;Stout;30;49;3.23
Browar Setka;Madagaskar ;15;10.5;Stout;35;41;3.06
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;KuŸnia Milk Stout ;15;6.725;Stout;30;92;3.57
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Tajemnice Króla ;12.5;5.6;Stout;20;69;3.33
AleBrowar;Lady Blanche ;12;6.2;Wheat;15;45;3.13
Brokreacja;The Nurse ;12;5.2;Wheat;15;78;3.4
Brokreacja;The Dancer ;13;7;Wheat;20;69;3.37
Browar Cornelius;Cornelius Banan ;13;3;Wheat;20.67;8;2.4
Browar Cornelius;Cornelius Grejpfrut ;13;6;Wheat;18.95;10;2.47
Browar Cornelius;Cornelius Triple Blond ;13.5988;8;Wheat;22.83;39;3.04
Browar Perun;Jare Gody ;13;5.6;Wheat;12;85;3.53
Browar Setka;Curacao ;12;6.6;Wheat;26;28;2.89
Browar Sza³piw;Bamber ;12;11;Wheat;21.54333333;73;3.36
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Œmietanka ;12.5;5.6;Wheat;15;36;3.01
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Córa Koryntu ;16.5;5.6;Wheat;28.71;37;3.02
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Pomarañczarnia ;12.5;7;Wheat;19;15;2.68
Pinta;Son of a Birch;9;3;Wheat;20;89;3.53
