As;Ba;Cd;Cr;Cu;Ni;Pb;Zn;Hg;THC.ppm;PAH.sum;NPD;TOM;Silt;Sand;Gravel;Pressure;Temperature;Salinity;Oxygen;Spiceness;Fluorescence;Depth
G_4_25;106,84;16,76;0,047;90,88;4,41;23,05;23,98;84,17;0,01;6,8;67;35,1;7,05;51,95;47,26;0,79;23;28,8547;35,2595;4,03301;5,41343;0,4162;25
G_4_50;15,77;15,69;0,073;62,94;3,72;15,05;5,18;45,21;0,01;6,2;11,8;26,9;6,09;56,89;43,11;0;48;28,846;35,4648;4,25088;5,18484;0,3343;50
G_4_100;4,65;19,28;0,134;31,06;5,03;12,81;2,47;34,13;0,01;4,5;10,4;18,3;6,28;38,91;58,91;2,19;96;28,8182;35,7822;2,55569;3,1953;0,0688;100
G_4_250;12,72;15,6;0,126;64,85;4,48;17,1;3,62;85,53;0,01;4,3;8,4;14,4;6,38;44,78;54,79;0,43;240;28,7653;35,4957;1,66459;2,39712;0,0429;250
G_4_500;17,77;27,52;0,11;94,63;4,47;15,96;3,58;57,99;0,01;3,5;12;13,4;6,65;42,19;57,81;0;497;28,6767;34,7139;1,92688;0,51866;0,0495;500
G_4_1000;7,77;184,89;0,173;59,32;12,5;26,6;3,92;60,05;0,02;5,1;26,9;20,7;10,04;87,43;12,57;0;1226;4,1978;34,8417;4,04922;0,23315;0,0349;1000
G_5_25;4,64;3,5;0,015;15,14;0,46;2,38;1,42;8,07;0,01;1,6;5,3;4,1;0,89;3,68;91,15;5,17;24;28,857;35,2606;4,22867;5,48853;0,1786;25
G_5_50;6,76;11,39;0,172;27,76;2,41;7,89;2,75;30,65;0,04;3,1;6,69;12,5;4,28;19,75;72,45;7,8;45;28,8614;35,4784;3,1998;5,23758;0,157;50
G_5_100;5,62;14,69;0,112;36,11;4,09;12,67;2,49;35,34;0,01;4;9,9;16,7;5,09;42,97;55,44;1,59;93;28,8706;35,8639;2,81456;3,60053;0,0616;100
G_5_250;11,26;15,03;0,204;55,58;4,41;14,51;3,69;66,09;0,01;5,5;9,4;20,3;6,1;40,37;58,34;1,3;254;28,8958;35,4556;1,1969;2,30345;0,0504;250
G_5_500;10,23;73,62;0,185;67,85;10,02;25,09;4,29;62,62;0,02;7,3;22,1;24,3;9,2;69,66;30,34;0;508;28,37592667;34,5242;1,851253333;0,381543333;0,0476;500
G_5_1000;5,9;219,62;0,276;57,78;17,55;34,65;4,49;64,6;0,02;11,9;42,7;42;11,51;94,1;5,8;0,1;975;4,2012;34,6948;3,45736;0,13378;0,0473;1000
G_8_25;109,49;23,13;0,052;43,15;10,5;22,85;12,66;71,44;0,01;8,7;204;64,1;5,8;27,08;42,73;30,2;24;28,64421667;35,1978;4,207523333;5,440986667;0,241333333;25
G_8_50;185,78;19,78;0,077;52,75;9,52;29,46;19,84;99,54;0,01;6;27,9;23,5;5,46;49,99;47,72;2,28;47;28,8537;35,4716;3,72534;5,21121;0,24565;50
G_8_100;15,4;46,48;0,074;59,89;17,7;30,33;8,16;54,45;0,02;10,4;66,88;52,7;10,28;97,33;2,67;0;96;28,21306;35,7705;2,14202;3,26634;0,0575;100
G_8_250;13,48;42,62;0,118;53,91;14,56;26,67;7,96;48,83;0,02;14,5;72,7;69,6;9,47;97,85;2,15;0;241;28,21546;35,4292;1,54502;2,23867;0,0544;250
G_8_500;18,82;62,54;0,209;56,97;15,17;28,83;8,92;52,9;0,02;22,2;91,6;87,1;9,16;98,9;1,1;0;528;28,22073;34,1057;1,93515;0,00821;0,0431;500
G_8_1000;21,59;100,94;0,216;57,84;17,27;32,15;9,24;57,52;0,02;18,9;86,7;67,1;10,26;99,49;0,51;0;1068;12,21312667;34,74123333;3,64711;0,164766667;0,0396;1000
G_9_25;4,7;3,35;0,034;14,99;1,37;2,96;1,45;6,22;0,01;1,6;6,9;9,3;1,27;1,12;70,54;28,33;24;28,22095;35,0733;4,36089;5,421;0,1292;25
G_9_50;7,53;31,64;0,399;48,59;9,66;22,43;4,36;47,48;0,01;8,3;1117,1;229,6;6,08;41,54;55,33;3,13;47;28,8537;35,4716;3,72534;5,21121;0,24565;50
G_9_100;10,34;39,28;0,312;52,47;11,4;26,63;5,49;54,2;0,01;9,2;42;34,2;10,8;78,27;20,59;1,14;95;28,63395333;35,80553333;2,50409;3,354056667;0,0626;100
G_9_250;23,43;31,83;0,176;78,06;11,07;25,97;6,82;71,47;0,01;8,3;36;34,3;8,64;55,99;43,77;0,24;246;28,22539;35,4554;1,60846;2,30459;0,0351;250
G_9_500;10,81;86,55;0,318;68,05;20,1;38,77;7,56;74,52;0,02;59,2;77,3;94,5;11,6;87,43;12,57;0;498;28,23035;34,753;1,69173;0,61776;0,0502;500
G_9_1000;13,68;132,98;0,279;64,32;20,17;38,32;8,52;67,81;0,03;14,8;71,2;53,6;10,67;98,11;1,89;0;1004;28,24038;34,6872;3,43475;0,12737;0,0366;1000
