Acer;Fagus;Fraxinus;DIFN;ph;standPC;riv
0;10;0;7.0875;4.0775;-3.136086288;river1
0;10;0;6.05;4.1525;-2.8080481;river1
2;1;0;4.566666667;3.893333333;-0.906856537;river1
1;1;0;10.475;3.82875;-3.218574293;river1
0;7;0;3.3625;3.8875;-2.044858653;river1
8;7;19;1.8875;4.1625;3.230523029;river1
19;3;43;1.4125;4.5375;3.583735887;river1
9;1;5;1.4875;4.2225;2.07296253;river1
6;18;10;1.0875;4.2375;4.192910619;river1
120;3;48;1.0125;4.64125;2.191748706;river1
34;8;20;1.8125;4.4975;2.343466074;river1
13;5;10;1.3875;4.56;3.760715018;river1
4;2;32;1.425;4.46375;-0.964863363;river1
13;16;27;1.725;4.2175;1.50623457;river1
25;134;9;0.6625;4.2025;2.024769128;river1
18;24;5;1.7875;4.725;2.451832696;riv2
15;54;5;1.35;4.605;1.722072572;riv2
1;2;0;1.8;4.348333333;-1.528385383;riv2
9;13;21;1.7375;4.1775;-1.553250436;riv2
3;6;7;2.1375;4.1525;0.781993985;riv2
1;6;9;1.475;4.25375;1.692890633;riv2
36;56;1;1.55;4.24625;1.776153551;r3
18;63;22;2.0875;4.455;-1.704267781;r3
44;67;3;1.6375;4.50125;-3.158932276;r3
226;73;80;1.675;4.5625;-2.432830803;r3
50;116;49;0.875;4.44875;-0.724029795;r3
3;12;1;1.4625;4.3425;-2.06293663;r3
2;10;0;4.55;4.1925;-3.192541363;r3
1;115;0;1.3875;4.10125;-2.254945879;r3
2;15;10;3.3;4.145;-1.373225154;r3
1;11;0;2.8125;4.01;-0.267376264;r3
